317191,'Alpine sheep sorrel'
272078,'Alpine shootingstar'
146102,'Alpine springbeauty'
670359,'Alpine swift'
502515,'Alpine violet'
672081,'Alpine wintergreen'
49622,'Alpine-rose'
211941,'Altai fescue'
263867,'Altai osman (Tribolodon brandtii)'
1036302,'Alto button frog'
3795,'Alumroot'
1513809,'Alvarenga's treefrog'
1552295,'Alvarez's mastiff bat'
1119052,'Amami-Aka-gaeru'
188060,'Amancay'
39602,'Amani forest treefrog'
3563,'Amaranth family'
4668,'Amaryllis family'
647292,'Amasisa'
9725,'Amazon dolphin'
45477,'Amazon dwarf squirrel'
318376,'Amazon milk frog'
85961,'Amazon water-lily'
9777,'Amazonian manatee'
164282,'Amazonian tiny tree toad'
59419,'Amazonian white-tailed trogon'
317192,'Ambari'
70397,'Amber-spot pond skimmer'
1739616,'Ambore do Alfie'
8034,'Amemasu char'
224334,'Amendoim bravo'
224339,'Amendoim de caracar'
224338,'Amendoim do porco'
212810,'Amendoim-bravo'
48026,'Ameo mayor'
317344,'American Cinchona Plantation treefrog'
195146,'American alpine speedwell'
932099,'American barnyard grass'
204141,'American basil'
66669,'American basswood'
204211,'American beauty-berry'
8439,'American bell toad'
165789,'American bird pepper'
123407,'American bittersweet'
85280,'American bladdernut'
443381,'American blue vervain'
69266,'American blueberry'
29058,'American bollworm'
104630,'American brook lamprey'
932108,'American brooklime'
932105,'American bugleweed'
46335,'American bulrush'
27923,'American comb jelly'
282391,'American copper'
3635,'American cotton'
13750,'American cranberry'
237960,'American cranberrybush'
208518,'American dagger nematode'
190224,'American dewberry'
479626,'American dittany'
284674,'American dwarf birch'
57008,'American elderberry'
9861,'American elk (Cervus canadensis canadensis)'
350584,'American fly-honeysuckle'
201512,'American germander'
46983,'American globeflower'
175203,'American gooseberry'
8073,'American goosefish'
75836,'American green-winged teal'
78632,'American hazelnut'
101729,'American holly'
56350,'American kestrel'
3326,'American larch'
9415,'American leaf-nosed and vampire bats'
47080,'American licorice'
402889,'American lion'
46980,'American liverleaf'
4431,'American lotus'
43151,'American malaria mosquito'
13037,'American monarch'
9265,'American opossums'
13493,'American persimmon'
42064,'American pitch pine'
185702,'American potatobean'
75709,'American pussy willow'
224313,'American quails'
334426,'American rat lungworm'
122118,'American red plum'
349956,'American sea rocket'
198433,'American serpentine leafminer'
223169,'American shoreweed'
165341,'American speedwell'
45208,'American spikenard'
55475,'American spongeplant'
7146,'American swallowtail'
4400,'American sweet gum'
4403,'American sycamore'
4097,'American tobacco'
4419,'American white water-lily'
1183373,'American whitespotted filefish'
75832,'American widgeon'
4397,'American witch-hazel'
56299,'American woodcock'
330163,'American wormseed'
141002,'American-ipecac'
244216,'Amji hynobiid'
556506,'Amor seco'
670328,'Amor-do-campo'
670327,'Amor-seco'
7736,'Amphioxi'
6821,'Amphipods (common name)'
9187,'Amsel'
263870,'Amur asp'
1168020,'Amur brown frog'
140657,'Amur chokecherry'
75332,'Amur false gudgeon'
149021,'Amur lilac'
57656,'Amur maple'
564076,'Amur minnow (Phoxinus steindachneri)'
178805,'Amur peppervine'
183675,'Amur silver grass'
284583,'Amur sleeper'
163077,'Anacahuita'
1104412,'Anamallai night frog'
8459,'Anapsid reptiles'
46750,'Anchor coral'
1249488,'Anchoveta (Anchoa lucida)'
217494,'Anchoveta peruana'
79571,'Anchovy-pear'
85705,'Ancyromonads'
1785702,'Andaman bush toad'
713925,'Andean Cat'
190226,'Andean blackberry'
126717,'Andean gull'
1203600,'Andean poison-arrow frog'
126808,'Andean pygmy owl'
127930,'Andean solitaire'
1510417,'Anderson's Khasi Hills frog'
162932,'Andoung'
12939,'Anemia, the fern with tired blood'
512269,'Angel's-trumpet'
169217,'Angel's-wings'
212701,'Angelim-amarelo'
430998,'Angels' share fungus'
3398,'Angiosperms'
56866,'Angled luffa'
31010,'Angler catfishes'
30790,'Anglerfish (Lophius litulon)'
164743,'Angola bullfrog'
54131,'Angola colobus'
327958,'Angola frog'
643493,'Angola reed frog'
423607,'Angolan giant mole-rat'
712048,'Angolan hairy bat'
532073,'Angonoka'
185357,'Angucho'
1016941,'Angular rough shark'
7658,'Angulate sea urchin'
1190666,'Anha'
448114,'Anhui sucker frog'
104502,'Anicia checkerspot'
302017,'Animas Peak woodlandsnail'
40880,'Anise'
39269,'Anise hyssop'
4584,'Anjan'
119902,'Anjani'
110094,'Annam wart frog'
452076,'Annamese snakehead'
311814,'Annandale's bush frog'
359533,'Annandale's high altitude frog'
146095,'Annual baby's-breath'
15368,'Annual false brome'
3986,'Annual mercury'
4212,'Annual ragweed'
138011,'Annual rape'
71035,'Annual salt marsh aster'
360583,'Annual wallrocket'
27596,'Anoa'
301862,'Anona corazon'
143526,'Ant frog'
320584,'Ant-hunting spiders'
35936,'Antaque'
8216,'Antarctic dragonfish'
36221,'Antarctic eel pout (Pachycara brachycephalum)'
95546,'Antarctic scallop'
202063,'Antarctic yellowbelly rockcod'
126820,'Antbush'
32243,'Antelope brush'
61309,'Antelope-ears'
157975,'Anthony peak larkspur'
1392,'Anthrax'
223208,'Antilles tonguefern'
637728,'Antillian rockclimbing goby'
9314,'Antilopine wallaroo'
367768,'Antler coral'
8342,'Anurans'
239402,'Anwak'
351061,'Aokimitamabae'
55060,'Apache pine'
481930,'Apalachicola aster'
43046,'Apalachicola dusky salamander'
326154,'Apalachicola false rosemary'
991774,'Apalachicola redhorse'
4456,'Ape (monocots)'
314295,'Ape (primates)'
57555,'Apennines salamander'
1498967,'Aphelids'
95972,'Aphidophagous gall midge'
2448812,'Aphrodite basslet'
13040,'Apopka weevil'
239401,'Appalachian bellflower'
57323,'Appalachian shoestring fern'
307735,'Appalachian stitchwort'
201758,'Apple blossom weevil'
113210,'Apple chile'
33466,'Apple ermine'
753488,'Apple leaf miner'
463306,'Apple mallee'
267261,'Apple rose'
3750,'Apple tree'
3926,'Apple-leaf'
33118,'Apple-of-Peru'
38860,'Applemint'
210863,'Apricot mallow'
151441,'Apricot plum'
172820,'Apusomonads'
164738,'Aquatic river frog'
1910774,'Arabian chromis'
40180,'Arabian chukar'
34274,'Arabian cotton'
660624,'Arabian jasmine'
43869,'Arabian myrrh'
146730,'Arabian skittering frog'
909126,'Arabian spinecheek'
82031,'Arabian starflower'
909122,'Arabian sweetlips'
13443,'Arabica coffee'
190761,'Arabisco'
320189,'Arabs'
336939,'Arani'
109271,'Arawana'
157516,'Arayan'
89539,'Arburua Ranch jewelflower'
1809738,'Arch-head flyingfish'
118230,'Archey's frog'
111907,'Arctic alpine butterfly'
300140,'Arctic aster'
361405,'Arctic bellflower'
254148,'Arctic brome'
717482,'Arctic dwarf birch'
290217,'Arctic eyebright'
120431,'Arctic hiatella'
409302,'Arctic krill'
74823,'Arctic poppy'
70741,'Arctic raspberry'
253145,'Arctic rush'
1911260,'Arctic sculpin'
335953,'Arctic stitchwort'
78620,'Arctic sulfur butterfly'
56019,'Arctic sweet coltsfoot'
143525,'Arcutate-spotted pygmy frog'
184783,'Areca-nut'
1218007,'Arenatus barb'
253477,'Aretillo'
442169,'Argentine'
420416,'Argentine caecilian'
68737,'Argentine chilla fox'
135274,'Argentine pearlfish'
445213,'Argentine red shrim'
111897,'Argus butterflies'
1302381,'Argus frog (Leptodactylus latrans)'
289703,'Argus pheasant-tree'
370640,'Argyle apple'
190515,'Arhat fruit'
58425,'Aridoshi'
485390,'Arikury palm'
1475377,'Arito'
327359,'Arizona adder's-mouth orchid'
201520,'Arizona bluecurls'
1873142,'Arizona broomrape'
127634,'Arizona desert-thorn'
247907,'Arizona necklacepod'
221767,'Arizona snake-cotton'
307273,'Arizona sycamore'
317356,'Arizona treefrog'
9359,'Armadillo'
88733,'Armand pine'
503140,'Armored catfish (Hypoptopomatinae)'
503141,'Armored catfish (Hypostominae)'
503144,'Armored catfish (Neoplecostominae)'
337753,'Armored catfish (Rineloricaria uracantha)'
181455,'Armored gurnard'
30080,'Armored scale insects'
207708,'Aromita'
158083,'Arrocillo'
2094180,'Arrogant shrew'
78376,'Arrow arum'
42053,'Arrow cane'
54342,'Arrow darter'
150323,'Arrow goby (Ptereleotris evides)'
215440,'Arrow squid'
61589,'Arrow wood'
55434,'Arrow-grass family'
10229,'Arrow-worms'
1455567,'Arroyo willow'
59895,'Artichoke'
226284,'Artillery-plant'
76277,'Artist's acanthus'
29727,'Arugula'
4454,'Arum family'
134700,'Arum frog'
69721,'Arum-lily'
58041,'Arve'
52471,'Asafoetida'
158538,'Asarabacca'
190758,'Aserillo'
714541,'Ash anthracnose fungus'
102211,'Ash gourd'
13101,'Ashe juniper'
126910,'Ashwagandha'
1749066,'Ashwamedha supple skink'
189550,'Ashy spike-moss'
126866,'Ashy storm-petrel'
113540,'Asian arowana'
168854,'Asian blue worm'
38729,'Asian broom grass'
529701,'Asian buttercup'
45949,'Asian clam'
9783,'Asian elephant'
118529,'Asian forest scorpions'
267130,'Asian freshwater goby'
104511,'Asian fritillary'
109962,'Asian giant stream frog'
663277,'Asian horned frog'
9378,'Asian house shrew'
346781,'Asian lady beete'
217634,'Asian long-horn beetle'
438425,'Asian marshweed'
283217,'Asian mountain toad'
129108,'Asian needlefish'
1706835,'Asian openbill'
80839,'Asian paddle crab'
354439,'Asian palm weevil'
332388,'Asian pear'
197796,'Asian plantain'
36311,'Asian salamanders'
8187,'Asian seabass'
693378,'Asian sword fern'
60517,'Asian tapeworm'
78630,'Asian white birch'
167587,'Asiatic bitter yam'
4054,'Asiatic ginseng'
79015,'Asiatic grass frog'
167934,'Asiatic painted frog'
48106,'Asiatic pennywort'
205937,'Asiatic poisonbulb'
168631,'Asiatic rice borer'
9794,'Asiatic wild ass'
323665,'Asiatic yam'
36774,'Asparagus broccoli'
40552,'Asparagus family'
272863,'Asparagus fern'
43385,'Asparagus maggot'
1503489,'Asparagus miner'
693368,'Asparagus-fern'
157786,'Assai palm'
670925,'Assam Indonesian treefrog'
261999,'Assam tea'
181185,'Assyrian plum'
318062,'Asthma-plant'
301693,'Ata'
169284,'Atemoya'
189786,'Atheltree'
64108,'Atlantic John dory'
446415,'Atlantic argentine'
432164,'Atlantic bearded brotula'
9739,'Atlantic bottlenose dolphin'
9135,'Atlantic canary'
123597,'Atlantic cedar'
39023,'Atlantic coral snake'
723540,'Atlantic devil ray'
1042648,'Atlantic eelpout (Lycodes frigidus)'
215415,'Atlantic eelpout (Lycodes terraenovae)'
164746,'Atlantic ghost catshark'
1181264,'Atlantic grunt'
8063,'Atlantic hake'
85353,'Atlantic ivy'
8078,'Atlantic killifish'
123333,'Atlantic lanternfish'
48456,'Atlantic lightfish'
13746,'Atlantic murre'
61334,'Atlantic nutclam'
129061,'Atlantic saury'
6584,'Atlantic surf-clam'
187463,'Atlantic white-cedar'
357466,'Atlas poppy'
4111,'Aubergine'
34888,'Auckland sea lion'
1394545,'Auckland tree weta'
1288292,'Audouin's gull'
92690,'Auger beetles'
470571,'August lily'
1978141,'August toad'
27781,'Aulonocara Fort Maguire'
1917408,'Aura's golden salamander'
1266869,'Aurora unernak'
1209400,'Austral lanternfish'
1155342,'Austral mudwort'
126809,'Austral pygmy owl'
126829,'Austral screech-owl'
57658,'Australasian gannet'
1108006,'Australasian pipit'
69110,'Australian baobab'
55766,'Australian brome'
104896,'Australian brown treefrog'
